id_activity;title;authors;source;publication_date;pmid;impact_factor;clinic;pdc;colab_inter;colab_intra_crti;id_choice
99;Time-lapse imaging systems in IVFlaboratories: a French national survey;Boueilh T, Reignier A, Barriere P, Freour T;J ASSIST REPROD GEN;01/01/18;30187427;2.82;false;true;false;false;1
100;"Performance of Day 5 KIDScore™ morphokinetic prediction models of implantation
and live birth after single blastocyst transfer";"Reignier A, Girard JM, Lammers J, Chtourou S, Lefebvre T, Barriere P, Freour
T";J ASSIST REPROD GEN;01/01/19;31444634;2.82;false;true;false;false;1
101;Phenotypic analysis of immunocompetent cells inhealthy human dental pulp;Gaudin A, Renard E, Hill M, Bouchet-Delbos L, Bienvenu-Louvet G, Farges JC,Cuturi MC, Alliot-Licht B;J ENDODONT;01/01/15;25702858;2.833;false;true;false;false;1
102;Selective CD28 antagonistprevents Aldara-induced skin inflammation in non-human primates;Poirier N, Chevalier M, Mary C, Hervouet J, Minault D, Le Bas-Bernardet S,Belarif L, Daguin V, Cassagnau E, Vanhove B, Blancho G;Exp Dermatol;01/01/16;26513536;2.868;false;true;false;false;1
103;Hormonal Modulation ofDendritic Cells Differentiation, Maturation and Function: Implications for theInitiation and Progress of Systemic Autoimmunity;Mackern-Oberti JP, Jara EL, Riedel CA, Kalergis AM;ARCH IMMUNOL THER EX;01/01/17;27585815;2.878;false;true;true;false;1
104;Characterization of N-glycosylation and amino acid sequencefeatures of immunoglobulins from swine;Lopez PG, Girard L, Buist M, de Oliveira AG, Bodnar E, Salama A, SoulillouJP, Perreault H;GLYCOCONJUGATE J;01/01/16;26586247;2.926;false;false;true;false;1
105;Adverse pregnancy and neo-nataloutcomes after assisted reproductive treatment in patients with pelvicendometriosis: a case-control study;Jacques M, Freour T, Barriere P, Ploteau S;Reprod Biomed Online;01/01/16;27068240;2.93;true;false;false;false;1
106;Can time-lapse parameters predictembryo ploidy? A systematic review;Reignier A, Lammers J, Barriere P, Freour T;Reprod Biomed Online;01/01/18;29398421;2.93;false;true;false;false;2
107;Ovarian reserve and response to stimulation in women undergoing fertility preservation according to malignancy type;Lefebvre T, Mirallié S, Leperlier F, Reignier A, Barriere P, Freour T;Reprod Biomed Online;01/01/18;29784618;2.93;true;true;false;false;1
108;Revisiting theassociation between smoking and female fertility using the oocyte donation model;Freour T, Massart P, García D, Vassena R, Rodríguez A;Reprod Biomed Online;01/01/18;30366838;2.93;true;true;false;false;1
109;Morphokinetic parameters in chromosomal translocation carriers undergoingpreimplantation genetic testing;Lammers J, Reignier A, Splingart C, Moradkhani K, Barriere P, Fréour T;Reprod Biomed Online;01/01/18;30579822;2.93;false;true;false;false;1
110;"Patient
perceptions and understanding of treatment instructions for ovarian stimulation
during infertility treatment";Barrière P, Avril C, Benmahmoud-Zoubir A, Bénard N, Dejager S;Reprod Biomed Online;01/01/19;31993512;2.93;true;true;false;false;1
111;"Real-world effectiveness of Fertistartkit® treatment in women
undergoing ART in French clinical practice: a retrospective multicentre study.";"Languille S, Massin N, Santulli P, Ozanon C, Kazdar N, Lechat X, Soriano E,
Frantz-Blancpain S, Callec R, Guerif F, Anahory T, Rongières C, Chevalier N,
Barriere P";Reprod Biomed Online;01/01/20;32201114;2.93;true;true;false;false;1
112;A standardized flow cytometry procedure for the monitoring of regulatory T cells in clinical trials;Fabien P, Michèle B, Guillaume M, Cécile B, Pierre P, Isabelle P, Jacques T,Myriam L, David K, Michelle R;CYTOM PART B-CLIN CY;01/01/18;29316248;2.938;false;false;false;false;1
113;Renal cortical volume: High correlation with pre- and post-operative renal function in living kidney donors;Gardan E, Jacquemont L, Perret C, Heudes PM, Gourraud PA, Hourmant M, Frampas E, Limou S;Eur J Radiol;01/01/18;29362141;2.948;true;true;false;true;1
114;"Impact of stem cell graft on early viral infections and
immune reconstitution after allogeneic transplantation in adults.";"Illiaquer M, Imbert-Marcille BM, Guillaume T, Planche L, Rimbert M,
Bressollette-Bodin C, Le Bourgeois A, Peterlin P, Garnier A, Le Houerou C, Moreau
P, Mohty M, Chevallier P.";J Clin Virol;01/01/17;28601677;3.02;true;false;false;false;1
115;FOCIS goes south: advances intranslational and clinical immunology;Kalergis AM, Anegon I, González PA;IMMUNOTHERAPY-UK;01/01/17;28877630;3.028;false;true;true;true;3
116;"Immunotherapies intransplantation and cancer: 22nd NAT meeting/2nd NAT LabEx IGO joint meeting; 1-2June 2017, Nantes, France";Simon S, Charpentier M, Anegon I, Labarriere N;IMMUNOTHERAPY-UK;01/01/17;29338607;3.028;false;true;false;false;3
117;Food antigens and Transglutaminase 2 in IgA nephropathy: Molecular links between gut and kidney.;Abbad L, Monteiro RC, Berthelot L.;Mol Immunol;01/01/20;32135400;3.064;false;true;true;false;2
118;Are the Decrease in Circulating anti-?1,3-Gal IgG and the Lower Content of Galactosyl Transferase A1 in the Microbiota of Patients With Multiple Sclerosis a Novel Environmental Risk Factor for the Disease?;Montassier E, Berthelot L , Soulillou J-P;Mol Immunol;01/01/18;29195140;3.064;false;true;false;false;1
119;Phenotype and functions of B cells in patients with acute braininjuries;Chenouard A, Chesneau M, Braza F, Dejoie T, Cinotti R, Roquilly A, Brouard S,Asehnoune K;Mol Immunol;01/01/15;26364142;3.064;false;true;false;false;1
120;A tribute to Mohamed Daha;Soulillou JP;Mol Immunol;01/01/15;26597201;3.064;false;true;false;false;3
121;"Interleukin-22 regulates interferon lambda expression in a
mice model of pseudomonas aeruginosa pneumonia";"Broquet A, Besbes A, Martin J, Jacqueline C, Vourc'h M, Roquilly A, Caillon J,
Josien R, Asehnoune K";Mol Immunol;01/01/20;31855807;3.064;false;false;false;false;1
122;Elevated IL-3 and IL-12p40 levels in the lowerairway of infants with RSV-induced bronchiolitis correlate with recurrentwheezing;Bertrand P, Lay MK, Piedimonte G, Brockmann PE, Palavecino CE, Hernández J,León MA, Kalergis AM, Bueno SM;Cytokine;01/01/15;26299549;3.078;false;false;true;false;1
123;"Blood biomarkers of kidney transplant 
rejection, an endless search?";Jacquemont L, Soulillou JP, Degauque N.;Expert Rev Mol Diagn;01/01/17;28571481;3.099;false;true;false;false;2
124;Needs for Systems Approaches to Better Treat Individuals With Severe Asthma: Predicting Phenotypes and Responses to Treatments.;Colas L, Hassoun D, Magnan A. ;Front Med;01/01/20;32296705;3.113;true;true;false;false;2
125;Human odontoblast-like cells produce nitric oxide withantibacterial activity upon TLR2 activation;Farges JC, Bellanger A, Ducret M, Aubert-Foucher E, Richard B, Alliot-LichtB, Bleicher F, Carrouel F;Front Physiol;01/01/15;26157393;3.201;false;false;false;false;1
126;Manufacturing of dental pulpcell-based products from human third molars: current strategies and futureinvestigations;Ducret M, Fabre H, Degoul O, Atzeni G, McGuckin C, Forraz N, Alliot-Licht B, Mallein-Gerin F, Perrier-Groult E, Farges JC;Front Physiol;01/01/15;26300779;3.201;false;false;false;false;1
127;Immunophenotyping Reveals theDiversity of Human Dental Pulp Mesenchymal Stromal Cells In vivo and TheirEvolution upon In vitro Amplification;Ducret M, Fabre H, Degoul O, Atzeni G, McGuckin C, Forraz N, Mallein-Gerin F, Perrier-Groult E, Alliot-Licht B, Farges JC;Front Physiol;01/01/16;27877132;3.201;false;false;false;false;1
128;Absolute Quantitation of Glycoforms of Two Human IgGSubclasses Using Synthetic Fc Peptides and Glycopeptides;Roy R, Ang E, Komatsu E, Domalaon R, Bosseboeuf A, Harb J, Hermouet S, KrokhinO, Schweizer F, Perreault H;J AM SOC MASS SPECTR;01/01/18;29796736;3.202;false;false;true;false;1
129;A single, low dose of a cGMP recombinant BCG vaccine elicitsprotective T cell immunity against the human respiratory syncytial virusinfection and prevents lung pathology in mice;Céspedes PF, Rey-Jurado E, Espinoza JA, Rivera CA, Canedo-Marroquín G, BuenoSM, Kalergis AM;Vaccine;01/01/17;28065474;3.269;false;true;true;false;1
130;Vasculitides induced by cocaine and/or levamisole;Néel A, Agard C, Hamidou M;Joint Bone Spine;01/01/18;28602438;3.278;true;true;false;false;3
131;Essential role forCD103+ cells in the pathogenesis of spondyloarthritides;Berthelot JM, Le Goff B, Martin J, Maugars Y, Josien R;Joint Bone Spine;01/01/15;25241337;3.278;false;true;false;false;2
132;Decreased Frequency of Circulating MyelinOligodendrocyte Glycoprotein B Lymphocytes in Patients with Relapsing-RemittingMultiple Sclerosis;Elong Ngono A, Lepetit M, Reindl M, Garcia A, Guillot F, Genty A, Chesneau M, Salou M, Michel L, Lefrere F, Schanda K, Imbert-Marcille BM, Degauque N, Nicot A,Brouard S, Laplaud DA, Soulillou JP;J Immunol Res;01/01/15;26090495;3.404;false;true;true;true;1
133;Current challenges in human tooth revitalization;Ducret M, Fabre H, Celle A, Mallein-Gerin F, Perrier-Groult E, Alliot-Licht B,Farges JC;BIOMED MATER;01/01/17;28372291;3.44;false;false;false;false;1
134;Imprinting of maternal thyroidhormones in the offspring;Opazo MC, Haensgen H, Bohmwald K, Venegas LF, Boudin H, Elorza AA, Simon F,Fardella C, Bueno SM, Kalergis AM, Riedel CA;Int Rev Immunol;01/01/17;28272924;3.481;false;false;true;false;1
135;"Generation of cattle knockout for
galactose-?1,3-galactose and N-glycolylneuraminic acid antigens";"Perota A, Lagutina I, Duchi R, Zanfrini E, Lazzari G, Judor JP, Conchon S,
Bach JM, Bottio T, Gerosa G, Costa C, Galiñanes M, Roussel JC, Padler-Karavani V,
Cozzi E, Soulillou JP, Galli C";Xenotransplantation;01/01/19;31115108;3.484;false;false;true;false;1
136;"Elicited and pre-existing
anti-Neu5Gc antibodies differentially affect human endothelial cells
transcriptome";"Le Berre L, Danger R, Mai HL, Amon R, Leviatan Ben-Arye S, Bruneau S, Senage
T, Perreault H, Teraiya M, Nguyen TVH, Le Tourneau T, Yu H, Chen X, Galli C,
Roussel JC, Manez R, Costa C, Brouard S, Galinanes M, Harris KM, Gitelman S,
Cozzi E, Charreau B, Padler-Karavani V, Soulillou JP";Xenotransplantation;01/01/19;31293002;3.484;false;true;true;true;1
137;Potential deleterious role ofanti-Neu5Gc antibodies in xenotransplantation;Salama A, Evanno G, Harb J, Soulillou JP;Xenotransplantation;01/01/15;25308416;3.484;false;true;false;false;2
138;Characterization of immunogenic Neu5Gc inbioprosthetic heart valves;Reuven EM, Leviatan Ben-Arye S, Marshanski T, Breimer ME, Yu H, Fellah-HebiaI, Roussel JC, Costa C, Galiñanes M, Mañez R, Le Tourneau T, Soulillou JP, Cozzi E, Chen X, Padler-Karavani V;Xenotransplantation;01/01/16;27610947;3.484;false;false;true;false;1
139;"Regenerative cell therapy for the treatment of hyperbilirubinemic
Gunn rats with fresh and frozen human induced pluripotent stem cells-derived
hepatic stem cells";"Fourrier A, Delbos F, Menoret S, Collet C, Thi Thuy LT, Myara A, Petit F,
Tolosa L, Laplanche S, Gómez-Lechón MJ, Labrune P, Anegon I, Vallier L, Garnier
D, Nguyen TH";Xenotransplantation;01/01/19;31342573;3.484;false;true;true;false;1
140;Polymeric mannosides prevent DC-SIGN-mediated cell-infection by cytomegalovirus;Brument S, Cheneau C, Brissonnet Y, Deniaud D, Halary F, Gouin SG;ORG BIOMOL CHEM;01/01/17;28871303;3.49;false;true;false;false;1
141;Significant variation between SNP-based HLA imputations indiverse populations: the last mile is the hardest;Pappas DJ, Lizee A, Paunic V, Beutner KR, Motyer A, Vukcevic D, Leslie S,Biesiada J, Meller J, Taylor KD, Zheng X, Zhao LP, Gourraud PA, Hollenbach JA,Mack SJ, Maiers M;Pharmacogenomics J;01/01/17;28440342;3.503;false;false;true;false;1
142;"Large-Scale ""OMICS"" Studies to Explore the
Physiopatholgy of HIV-1 Infection";Le Clerc S, Limou S, Zagury JF;Front Genet;01/01/19;31572435;3.517;false;false;true;true;2
143;Impact of antiviralprophylaxis in adults EBV seronegative kidney recipients on early and late PTLDonset: a retrospective cohort study;Ville S, Imbert-Marcille BM, Coste-Burel M, Garandeau C, Meurette A,Cantarovitch D, Giral M, Hourmant M, Blancho G, Dantal J;Transpl Int;01/01/18;29057508;3.526;true;true;false;true;1
144;The 1-year RenalBiopsy Index (1-RBI): a scoring system to drive biopsy indication at 1-yearpost-kidney transplantation;Giral M, Renaudin K, Naesens M, Luning R, Anglicheau D, Morelon E, Huneau A,Paul C, Brouard S, Couvrat-Desvergnes G, Foucher Y, Dantan E;Transpl Int;01/01/18;29893433;3.526;false;true;true;false;1
145;The weekend effect in kidney transplantation outcomes: a French cohort-based study.;"Ville S, Branchereau J, Cornuaud A, Dantal J, Legendre C, Buron F, Morelon E, 
Garrigue V, Lequentrec M, Albano L, Cassuto E, Girerd S, Ladrière M, Glotz D,
Lefaucher C, Kerleau C, Foucher Y, Giral M; DIVAT consortium. ";Transpl Int;01/01/20;32428980;3.526;true;true;false;true;1
146;Comparison of survival outcomes between ExpandedCriteria Donor and Standard Criteria Donor kidney transplant recipients: asystematic review and meta-analysis;Querard AH, Foucher Y, Combescure C, Dantan E, Larmet D, Lorent M, PouteauLM, Giral M, Gillaizeau F;Transpl Int;01/01/16;26756928;3.526;false;true;true;false;1
147;Vitamin D deficiency is an independent risk factor for PTDM afterkidney transplantation;Le Fur A, Fournier MC, Gillaizeau F, Masson D, Giral M, Cariou B, CantarovichD, Dantal J;Transpl Int;01/01/16;26426441;3.526;false;true;false;false;1
148;Ispre-transplant sensitization against angiotensin II type 1 receptor still a risk factor of graft and patient outcome in kidney transplantation in the anti-HLALuminex era? A retrospective study;Deltombe C, Gillaizeau F, Anglicheau D, Morelon E, Trébern-Launay K, LeBorgne F, Rimbert M, Guérif P, Malard-Castagnet S, Foucher Y, Giral M;Transpl Int;01/01/17;28686316;3.526;false;true;false;true;1
149;Reconsidering the detection of tolerance toindividualize immunosuppression minimization and to improve long-term kidneygraft outcomes;Baron D, Giral M, Brouard S;Transpl Int;01/01/15;25851900;3.526;false;true;false;false;2
150;Current status of immunosuppressive minimization andtolerance strategies;Brouard S, Budde K;Transpl Int;01/01/15;26178312;3.526;false;true;true;false;3
151;Tolerogenic dendritic celltherapy in organ transplantation;Moreau A, Alliot-Licht B, Cuturi MC, Blancho G;Transpl Int;01/01/17;27864897;3.526;false;true;false;true;2
152;An extension of the RITUX-ERAH study, multicenter randomized clinical trial comparing rituximab to placebo in acute antibody-mediated rejection after renal transplantation. ;"Bailly E, Ville S, Blancho G, Morelon E, Bamoulid J, Caillard S, Chatelet V,
Malvezzi P, Tourret J, Vuiblet V, Anglicheau D, Bertrand D, Grimbert P, Haidar F,
Hazzan M, Kamar N, Merville P, Mousson C, Pernin V, Pouteil-Noble C, Purgus R,
Sayegh J, Westeel PF, Sautenet B, Gatault P, Büchler M. ";Transpl Int;01/01/20;32279367;3.526;true;false;false;false;1
153;Transcriptomics analysis and human preimplantationdevelopment;Freour T, Vassena R;J Proteomics;01/01/17;27765633;3.537;false;true;false;false;2
154;Evasion of early antiviral responses by herpes simplex viruses;Suazo PA, Ibañez FJ, Retamal-Díaz AR, Paz-Fiblas MV, Bueno SM, Kalergis AM,González PA;MEDIAT INFLAMM;01/01/15;25918478;3.545;false;false;true;false;1
155;ental Pulp Defence and Repair Mechanisms in Dental Caries;Farges JC, Alliot-Licht B, Renard E, Ducret M, Gaudin A, Smith AJ, Cooper PR;MEDIAT INFLAMM;01/01/15;26538821;3.545;false;false;true;false;1
156;Neuropathologic,phenotypic and functional analyses of Mucosal Associated Invariant T cells inMultiple Sclerosis;Salou M, Nicol B, Garcia A, Baron D, Michel L, Elong-Ngono A, Hulin P,Nedellec S, Jacq-Foucher M, Le Frère F, Jousset N, Bourreille A, Wiertlewski S,Soulillou JP, Brouard S, Nicot AB, Degauque N, Laplaud DA;Clin Immunol;01/01/16;27050759;3.548;false;true;false;false;1
157;Decrease of blood anti-?1,3 Galactose Abs levels in multiple sclerosis (MS) andclinically isolated syndrome (CIS) patients;Le Berre L, Rousse J, Gourraud PA, Imbert-Marcille BM, Salama A, Evanno G,Semana G, Nicot A, Dugast E, Guérif P, Adjaoud C, Freour T, Brouard S, AgbalikaF, Marignier R, Brassat D, Laplaud DA, Drouet E, Van Pesch V, Soulillou JP;Clin Immunol;01/01/17;28506921;3.548;false;true;true;true;1
158;Standardized whole blood stimulationimproves immunomonitoring of induced immune responses in multi-center study;"Duffy D, Rouilly V, Braudeau C, Corbière V, Djebali R, Ungeheuer MN, JosienR, LaBrie ST, Lantz O, Louis D, Martinez-Caceres E, Mascart F, Ruiz de MoralesJG, Ottone C, Redjah L, Guen NS, Savenay A, Schmolz M, Toubert A, Albert ML;Multinational FOCIS Centers of Excellence";Clin Immunol;01/01/17;28943400;3.548;false;false;true;false;1
159;"A dominant vimentin
variant causes a rare syndrome with premature aging.";"Cogné B, Bouameur JE, Hayot G, Latypova X, Pattabiraman S, Caillaud A,
Si-Tayeb K, Besnard T, Küry S, Chariau C, Gaignerie A, David L, Bordure P,
Kaganovich D, Bézieau S, Golzio C, Magin TM, Isidor B.";Eur J Hum Genet;01/01/20;32066935;3.65;false;false;true;false;1
160;Carbonmonoxide inhibits T cell activation in target organs during systemic lupuserythematosus;Mackern-Oberti JP, Obreque J, Méndez GP, Llanos C, Kalergis AM;Clin Exp Immunol;01/01/15;26095291;3.711;false;true;true;false;1
161;Clinical efficacy of a new CD28-targeting antagonist of T cell co-stimulation in a non-human primate model of collagen-induced arthritis;Vierboom MP, Breedveld E, Kap YS, Mary C, Poirier N, 't Hart BA, Vanhove B;Clin Exp Immunol;01/01/16;26540618;3.711;false;true;true;false;1
162;Anticomplement Treatment in Atypical and Typical Hemolytic Uremic Syndrome;Fakhouri F, Loirat C;Semin Hematol;01/01/18;30032752;3.738;true;true;false;false;2
163;Modulation of Antiviral Immunity byHeme Oxygenase-1;Espinoza JA, González PA, Kalergis AM;Am J Pathol;01/01/17;28082120;3.762;false;true;true;false;1
164;Looking for Missing Proteins in theProteome of Human Spermatozoa: An Update;Vandenbrouck Y, Lane L, Carapito C, Duek P, Rondel K, Bruley C, Macron C,Gonzalez de Peredo A, Couté Y, Chaoui K, Com E, Gateau A, Hesse AM, Marcellin M, Méar L, Mouton-Barbosa E, Robin T, Burlet-Schiltz O, Cianferani S, Ferro M,Freour T, Lindskog C, Garin J, Pineau C;J Proteome Res;01/01/16;27444420;3.78;false;false;true;false;1
165;Validating Missing Proteins in Human Sperm Cells by Targeted Mass-Spectrometry- and Antibody-based Methods;Carapito C, Duek P, Macron C, Seffals M, Rondel K, Delalande F, Lindskog C,Freour T, Vandenbrouck Y, Lane L, Pineau C;J PROTEOME RES;01/01/17;28891297;3.78;false;false;true;false;1
166;Characterization of immunoglobulins through analysisof N-glycopeptides by MALDI-TOF MS;Komatsu E, Buist M, Roy R, Gomes de Oliveira AG, Bodnar E, Salama A,Soulillou JP, Perreault H;Methods;01/01/16;26773578;3.782;false;false;true;false;1
167;Excess iodideinduces an acute inhibition of the sodium/iodide symporter in thyroid male ratcells by increasing reactive oxygen species;Arriagada AA, Albornoz E, Opazo MC, Becerra A, Vidal G, Fardella C, Michea L, Carrasco N, Simon F, Elorza AA, Bueno SM, Kalergis AM, Riedel CA;Endocrinology;01/01/15;25594695;3.8;false;true;true;false;3
168;Gestational Hypothyroidism Improves the Ability of the Female Offspring to ClearStreptococcus pneumoniae Infection and to Recover From Pneumococcal Pneumonia;Nieto PA, Peñaloza HF, Salazar-Echegarai FJ, Castellanos RM, Opazo MC,Venegas L, Padilla O, Kalergis AM, Riedel CA, Bueno SM;Endocrinology;01/01/16;27035652;3.8;false;true;true;false;2
169;TLR3 promotes MMP-9 production in primaryhuman airway epithelial cells through Wnt/?-catenin signaling;"Royer PJ, Henrio K, Pain M, Loy J, Roux A, Tissot A, Lacoste P, Pison C,Brouard S, Magnan A; COLT consortium";RESP RES;01/01/17;29237464;3.829;false;true;false;false;1
170;Patients with ANCA-associated vasculitis admitted to the intensive care unit with acute vasculitis manifestations: a retrospective and comparativemulticentric study;Demiselle J, Auchabie J, Beloncle F, Gatault P, Grangé S, Du Cheyron D,Dellamonica J, Boyer S, Beauport DT, Piquilloud L, Letheulle J, Guitton C,Chudeau N, Geri G, Fourrier F, Robert R, Guérot E, Boisramé-Helms J, Galichon P, Dequin PF, Lautrette A, Bollaert PE, Meziani F, Guillevin L, Lerolle N, AugustoJF;Ann Intensive Care;01/01/17;28382598;3.931;true;false;true;false;1
171;Liraglutide in whole-pancreas transplant patients with impaired glucose homoeostasis: A case series;Cariou B, Bernard C, Cantarovich D;Diabetes Metab;01/01/15;25457472;4.008;true;true;false;false;1
172;Indications for islet or pancreatic transplantation: Statement of the TREPID Working Group onbehalf of the Société Francophone du Diabète (SFD), Société Francaised'Endocrinologie (SFE), Société Francophone de Transplantation (SFT) and Société Française de Néphrologie-Dialyse-Transplantation (SFNDT);Wojtusciszyn A, Branchereau J, Esposito L, Badet L, Buron F, Chetboun M,Kessler L, Morelon E, Berney T, Pattou F, Benhamou PY, Vantyghem MC;Diabetes Metab;01/01/19;30223084;4.008;true;false;true;false;2
173;ROR?t+ cells selectively express redundantcation channels linked to the Golgi apparatus;Drujont L, Lemoine A, Moreau A, Bienvenu G, Lancien M, Cens T, Guillot F,Bériou G, Bouchet-Delbos L, Fehling HJ, Chiffoleau E, Nicot AB, Charnet P, MartinJC, Josien R, Cuturi MC, Louvet C;SCI REP-UK;01/01/16;27009467;4.011;false;true;false;true;1
174;Homology-directed repair inrodent zygotes using Cas9 and TALEN engineered proteins;Ménoret S, De Cian A, Tesson L, Remy S, Usal C, Boulé JB, Boix C, Fontanière S, Crénéguy A, Nguyen TH, Brusselle L, Thinard R, Gauguier D, Concordet JP,Cherifi Y, Fraichard A, Giovannangeli C, Anegon I;SCI REP-UK;01/01/15;26442875;4.011;false;true;false;false;1
175;Comparative transcriptomic analysis of human and Drosophilaextracellular vesicles;Lefebvre FA, Benoit Bouvrette LP, Perras L, Blanchet-Cohen A, Garnier D, Rak J, Lécuyer É;SCI REP-UK;01/01/16;27282340;4.011;false;false;true;false;1
176;Comparative Analysis of piggyBac,CRISPR/Cas9 and TALEN Mediated BAC Transgenesis in the Zygote for the Generation of Humanized SIRPA Rats;Jung CJ, Ménoret S, Brusselle L, Tesson L, Usal C, Chenouard V, Remy S, OuisseLH, Poirier N, Vanhove B, de Jong PJ, Anegon I;SCI REP-UK;01/01/16;27530248;4.011;false;true;false;true;1
177;Interleulin-22 is negatively correlated with neutrophil recruitment in the lungs in a Pseudomonas aeruginosa pneumonia model.;Broquet A, Jacqueline C, Davieau M, Besbe A, Roquilly A, Martin J, Caillon J, Dumoutier L, Renauld JC, Heslan M, Josien R, Asehnoune K;SCI REP-UK;01/01/17;28887540;4.011;false;false;false;false;1
178;Generation of gene-edited rats by delivery of CRISPR/Cas9 protein and donorDNA into intact zygotes using electroporation;Remy S, Chenouard V, Tesson L, Usal C, Ménoret S, Brusselle L, Heslan JM,Nguyen TH, Bellien J, Merot J, De Cian A, Giovannangeli C, Concordet JP, AnegonI;SCI REP-UK;01/01/17;29185448;4.011;false;true;false;false;1
179;Galectin-1 is required for the regulatory function of Bcells;Alhabbab R, Blair P, Smyth LA, Ratnasothy K, Peng Q, Moreau A, Lechler R,Elgueta R, Lombardi G;SCI REP-UK;01/01/18;29426942;4.011;false;false;false;false;1
180;Expansion of human primary hepatocytes in vitro through theiramplification as liver progenitors in a 3D organoid system;Garnier D, Li R, Delbos F, Fourrier A, Collet C, Guguen-Guillouzo C, Chesné C,Nguyen TH;SCI REP-UK;01/01/18;29844473;4.011;false;true;false;false;1
181;Lipoxin A(4) Attenuates the InflammatoryResponse in Stem Cells of the Apical Papilla via ALX/FPR2;Gaudin A, Tolar M, Peters OA;SCI REP-UK;01/01/18;29892010;4.011;false;true;true;false;1
182;"Urine-derived cells
provide a readily accessible cell type for feeder-free mRNA reprogramming";"Gaignerie A, Lefort N, Rousselle M, Forest-Choquet V, Flippe L,
Francois-Campion V, Girardeau A, Caillaud A, Chariau C, Francheteau Q, Derevier
A, Chaubron F, Knöbel S, Gaborit N, Si-Tayeb K, David L.";SCI REP-UK;01/01/18;30254308;4.011;false;true;false;false;1
183;"Contribution of SLC22A12 on hypouricemia
and its clinical significance for screening purposes";"Cha DH, Gee HY, Cachau R, Choi JM, Park D, Jee SH, Ryu S, Kim KK, Won HH,
Limou S, Myung W, Winkler CA, Cho SK";SCI REP-UK;01/01/19;31591475;4.011;false;false;true;false;1
184;"Resistin expression in human monocytes is controlled by two linked
promoter SNPs mediating NFKB p50/p50 binding and C-methylation";"Kumar D, Lee B, Puan KJ, Lee W, Luis BS, Yusof N, Andiappan AK, Del Rosario R,
Poschmann J, Kumar P, DeLibero G, Singhal A, Prabhakar S, De Yun W, Poidinger M, 
Rötzschke O";SCI REP-UK;01/01/19;31645609;4.011;false;false;true;false;1
185;"Role of indoleamine 2,3-dioxygenase 
in testicular immune-privilege";"Gualdoni GS, Jacobo PV, Sobarzo CM, Pérez CV, Matzkin ME, Höcht C, Frungieri
MB, Hill M, Anegon I, Lustig L, Guazzone VA";SCI REP-UK;01/01/19;31685866;4.011;false;false;true;false;1
186;Otoferlin gene editing in sheep via CRISPR-assisted ssODN-mediated Homology Directed Repair;"Menchaca A, Dos Santos-Neto PC, Souza-Neves M, Cuadro F, Mulet AP, Tesson L,
Chenouard V, Guiffès A, Heslan JM, Gantier M, Anegón I, Crispo M.";SCI REP-UK;01/01/20;32265471;4.011;false;false;true;false;1
187;Involvement of the CX3CL1(fractalkine)/CX3CR1 pathway in the pathogenesis of acute graft-versus-hostdisease;Brissot E, Bossard C, Malard F, Braudeau C, Chevallier P, Guillaume T,Delaunay J, Josien R, Gregoire M, Gaugler B, Mohty M;J LEUKOCYTE BIOL;01/01/15;25420917;4.012;false;false;false;false;1
188;Novel therapies and vaccines against the humanrespiratory syncytial virus;Rivera CA, Gómez RS, Díaz RA, Céspedes PF, Espinoza JA, González PA, RiedelCA, Bueno SM, Kalergis AM;EXPERT OPIN INV DRUG;01/01/15;26457559;4.031;false;true;true;false;1
189;Cytomegalovirus-Infected Primary Endothelial Cells TriggerNKG2C+ Natural Killer Cells;Djaoud Z, Riou R, Gavlovsky PJ, Mehlal S, Bressollette C, Gérard N, Gagne K,Charreau B, Retière C;J Innate Immun;01/01/16;27116381;4.085;false;false;false;true;1
190;Inhibition of complement improves graft outcomein a pig model of kidney autotransplantation;Delpech PO, Thuillier R, SaintYves T, Danion J, Le Pape S, van Amersfoort ES, Oortwijn B, Blancho G, Hauet T;J Transl Med;01/01/16;27663514;4.098;false;false;false;false;1
191;"Newborn Screening for Severe Combined Immunodeficiency: Analytic and 
Clinical Performance of the T Cell Receptor Excision Circle Assay in France
(DEPISTREC Study)";"Audrain MAP, Léger AJC, Hémont CAF, Mirallié SM, Cheillan D, Rimbert MGM, Le
Thuaut AM, Sébille-Rivain VA, Prat A, Pinel EMQ, Divry E, Dert CGL, Fournier MAG,
Thomas CJC";J Clin Immunol;01/01/18;30251145;4.128;true;false;false;false;1
192;Carbon monoxide down-modulates Toll-likereceptor 4/MD2 expression on innate immune cells and reduces endotoxic shocksusceptibility;Riquelme SA, Bueno SM, Kalergis AM;Immunology;01/01/15;25179131;4.147;false;true;true;false;1
193;Interleukin-10 plays a keyrole in the modulation of neutrophils recruitment and lung inflammation duringinfection by Streptococcus pneumoniae;Peñaloza HF, Nieto PA, Muñoz-Durango N, Salazar-Echegarai FJ, Torres J, PargaMJ, Alvarez-Lobos M, Riedel CA, Kalergis AM, Bueno SM;Immunology;01/01/15;26032199;4.147;false;true;true;false;1
194;Contributionof dendritic cells to the autoimmune pathology of systemic lupus erythematosus;Mackern-Oberti JP, Llanos C, Riedel CA, Bueno SM, Kalergis AM;Immunology;01/01/15;26173489;4.147;false;true;true;false;1
